,text,user_location,location,Lat,Lon,geometry
9291,"RT @Wario64: Super Mario™ 3D World + Bowser’s Fury is available for preorder ($59.99)
Amazon https://t.co/0JBwo22ogM
Best Buy https://t.co/…",Illinois,"Illinois, United States",40.0796606,-89.4337288,POINT (-89.4337288 40.0796606)
2341,Ok what if the port part of 3D World looks shit but Bowser's Fury is RTX on,Cyberia,"Cyberia, Kelana Jaya, Petaling Jaya, Selangor, 4730P, Malaysia",3.1048048,101.5997759,POINT (101.5997759 3.1048048)
8556,Covid-infected mum's baby is v...  Check at https://t.co/lu9SLmyk2N Follow @insubcontinent also TRNDN #PortfolioDay… https://t.co/UnT9mHhwSq,Bengaluru,"Bengaluru, Bangalore North, Bangalore Urban, Karnataka, India",12.9791198,77.5912997,POINT (77.59129969999999 12.9791198)
854,"RT @JesssAdel: Bowser in every Mario game: 🦖

Bowser in Bowser's Fury: https://t.co/e5E04GY5Ov","Arizona, USA","Arizona, United States",34.395342,-111.763275,POINT (-111.763275 34.395342)
23628,RT @NintendoAmerica: Bowser's Fury will be unleashed in a new #SuperMario3DWorld + #BowsersFury trailer tomorrow! Come back at 6am PT to se…,Connecticut,"Connecticut, United States",41.6500201,-72.7342163,POINT (-72.7342163 41.6500201)
5273,Ok Bowser's Fury looks absolutely legit which makes me even more frustrated that's it's tied to an $80 game I alrea… https://t.co/TDWi6CqZgs,"Toronto, Ontario","Toronto, Golden Horseshoe, Ontario, Canada",43.6534817,-79.3839347,POINT (-79.3839347 43.6534817)
324,RT @Nibellion: Official key art for Bowser's Fury https://t.co/FlyRwzo6xP,"Buffalo, NY","Buffalo, Erie County, New York, United States",42.8867166,-78.8783922,POINT (-78.87839219999999 42.8867166)
9856,I just realized the logo for bowser's fury is also covered in the same tar https://t.co/M5oheC03H9 https://t.co/NjTJAGpoJI,329 @ Dominican Republic,"הרפובליקה הדומיניקנית, עיר גנים, ירושלים, מחוז ירושלים, no, ישראל",31.7547257,35.1685265,POINT (35.1685265 31.7547257)
12252,Super Mario and Bowser Jr team up in Bowser’s Fury https://t.co/juHSed0awf,UK,United Kingdom,54.7023545,-3.2765753,POINT (-3.2765753 54.7023545)
17836,"RT @antdude92: Bowser's Fury looks incredible, oh my god",WAHOO,"Wahoo, Saunders County, Nebraska, United States",41.2111084,-96.6197985,POINT (-96.6197985 41.2111084)
17302,RT @Somecallmejon: Just gonna catch the Bowser's Fury trailer real quick andOHMYGOD-- https://t.co/ry0INDajht,"Newquay, England","Newquay, Oakleigh Terrace, Trenance, Newquay, Cornwall, South West England, England, TR7, United Kingdom",50.4143924,-5.0751373,POINT (-5.0751373 50.4143924)
16404,"Also, I am very much here for Bowser’s Fury being both a 3D World expansion and a sort of weird Mario Sunshine pseudosequel",Long Island,"Long Island, New York, United States",40.85149705,-73.0994258107431,POINT (-73.0994258107431 40.85149705)
12477,"RT @MattMcMuscles: Hmm yes yes. I will be buying Bowser's Fury. BTW, In Nintendo's press release, this new form was dubbed ""God-Slayer Bows…",My Underworld,"The Underworld, San Diego, San Diego County, California, 92119, United States",32.8257296,-117.0510206,POINT (-117.0510206 32.8257296)
14532,Bowser's Fury looks so fucking awesome!,"Alvin, TX","Alvin, Brazoria County, Texas, United States",29.4238472,-95.2441009,POINT (-95.24410090000001 29.4238472)
25577,RT @NintendoAmerica: Bowser's Fury will be unleashed in a new #SuperMario3DWorld + #BowsersFury trailer tomorrow! Come back at 6am PT to se…,United States,United States,39.7837304,-100.4458825,POINT (-100.4458825 39.7837304)
10177,"I can't wait to play it!
A Bigger Badder Bowser - Super Mario 3D World + Bowser's Fury - Nintendo... https://t.co/QwXHlCnIQr via @YouTube",France,France,46.603354,1.8883335,POINT (1.8883335 46.603354)
8888,"RT @MattMcMuscles: Hmm yes yes. I will be buying Bowser's Fury. BTW, In Nintendo's press release, this new form was dubbed ""God-Slayer Bows…","St Cloud, FL","Saint Cloud, Osceola County, Florida, United States",28.2498534,-81.2839038,POINT (-81.2839038 28.2498534)
6838,RT @NintendoAmerica: Bowser's Fury will be unleashed in a new #SuperMario3DWorld + #BowsersFury trailer tomorrow! Come back at 6am PT to se…,"Brooklyn, NY","Brooklyn, Kings County, New York, United States",40.6501038,-73.9495823,POINT (-73.9495823 40.6501038)
4835,RT @Nibellion: Official key art for Bowser's Fury https://t.co/FlyRwzo6xP,Madrid,"Madrid, Área metropolitana de Madrid y Corredor del Henares, Comunidad de Madrid, 28001, España",40.4167047,-3.7035825,POINT (-3.7035825 40.4167047)
13628,"RT @Lbabinz: New Super Mario Bros. 35th Anniversary collectible pin set revealed, must purchase Super Mario 3D World + Bowser's Fury game a…",Matane,"Matane, La Matanie, Bas-Saint-Laurent, Québec, Canada",48.8468633,-67.5295977,POINT (-67.5295977 48.8468633)
5067,"RT @Nibellion: New Super Mario 3D World + Bowser's Fury trailer

https://t.co/Dm96L8kXEK https://t.co/2gH2bnh3KE","New York, New York","New York, United States",40.7127281,-74.0060152,POINT (-74.00601519999999 40.7127281)
10800,"RT @aitaikimochi: This new Bowser's Fury art is legit, but I can't get over Mario becoming Super Saiyan while wearing a cat suit??? https:/…","Edinburgh, Scotland","City of Edinburgh, Scotland, United Kingdom",55.9533456,-3.1883749,POINT (-3.1883749 55.9533456)
