,text,user_location,location,Lat,Lon
129464,"RT @KylaInTheBurgh: Today, Donald Trump will again make history for being a complete piece of shit. He will be the first President in Ameri…","Mount Pocono, PA","Mount Pocono, Monroe County, Pennsylvania, 18344, United States",41.1220987,-75.3646997
34057,Why are all of the republicans getting all of this time to gaslight and lie? #ImpeachmentDay #ImpeachmentDebate… https://t.co/eTIPZZYxdP,Universal,"Universal, Veranópolis, Região Geográfica Imediata de Bento Gonçalves, Região Geográfica Intermediária de Caxias do Sul, Rio Grande do Sul, Região Sul, Brasil",-28.9182121,-51.547104
48017,@RepBoebert wore black to her #ImpeachmentDay floor speech to mark the death of her political future.,"Pueblo, CO","El Pueblo, Barranquilla, Atlántico, Caribe, Colombia",10.961033,-74.84053554739253
66319,"RT @Jackasaurus3: Jim Jordan: “They want to cancel the president.”

Wow, check out the big brain on Jim!

#ImpeachmentDay https://t.co/yFHZ…","Washington, DC","Washington, District of Columbia, United States",38.8950368,-77.0365427
109049,"According to CNN, Trump wants to pardon himself and his children! The fascist enabler has zero shame. #ImpeachTrump #ImpeachmentDay",Hornsey,"Hornsey, London Borough of Haringey, London, Greater London, England, N8 7PB, United Kingdom",51.5873645,-0.1209667
119209,"Happy #ImpeachmentDay. Share this far and wide. Trump must be impeached.
https://t.co/ZsbArYruIq","Palm Bay, FL","Palm Bay, Brevard County, Florida, United States",27.959186199999998,-80.67174097572686
112588,Lead @JohnCornyn History of how to deal with Nazis and fascism is instructive. #CondemnMAGA #ImpeachmentDay #txlege https://t.co/5oMUV8nZiV,US Congress District 24 ,"The District, 103, Congress Street, Portsmouth, Rockingham County, New Hampshire, 03801, United States",43.076289,-70.7597409
102467,"RT @SteveRustad1: Ted Cruz incited violent insurrection.

Expel that traitor from the Senate.

Indict him.

Convict him

Send him to prison…","Temple,Texas USA","Temple, Bell County, Texas, United States",31.098207,-97.3427847
107599,"RT @tomiahonen: A rapist, a racist, and a terrorist walk into a bar. The bartender asks, ""What are you having Mr Trump?""

#ImpeachmentDay",United States,United States,39.7837304,-100.4458825
46052,"Seems there is nothing good about Bob 
#GOPSeditiousTraitors 
#ImpeachandRemove 
#ImpeachmentDay","New Jersey, USA","New Jersey, United States",40.0757384,-74.4041622
96401,"RT @EarlOfEnough: 🇺🇸You either defend Trump or you defend America from Trump. Period.

#ImpeachmentDay #VetsForImpeachment","Bloomsburg, PA","Bloomsburg, Columbia County, Pennsylvania, United States",41.0044958,-76.4537302
2788,"RT @AmoneyResists: #ImpeachmentDay: Ten GOP members found their spines. Unless they change their votes, Trump will be the first in United S…","Okmulgee, OK","Okmulgee, Okmulgee County, Oklahoma, 74447, United States",35.6234738,-95.960341
84831,RT @ronmarz: I despise Jim Jordan with the white hot intensity of a thousand suns. #ImpeachmentDay,Metropolis,"Metropolis, İzmir - Aydın Otoyolu, Sağlık, Yeniköy Mahallesi, Torbalı, İzmir, Ege Bölgesi, 35862, Türkiye",38.126076499999996,27.32437098038485
41079,"Republicans: BLM ran wild, and nobody cried!

People: You did cry. You sent your goons to beat us up.

Republicans:… https://t.co/o4MCeRHyda",Los Angeles ,"Los Angeles, Los Angeles County, California, United States",34.0536909,-118.242766
6327,RT @red4_13: Donald got more impeachments than terms 😂😂 #ImpeachmentDay https://t.co/k3fXHndDPE,BOSTON,"Boston, Suffolk County, Massachusetts, United States",42.3602534,-71.0582912
112227,RT @LarrySabato: Donald Trump richly deserves his distinction as the only President ever impeached twice. It’s a message to future generati…,"Anchorage, AK","Anchorage, Alaska, 99501-2118, United States",61.2163129,-149.894852
112911,"RT @grantstern: First, Trump. 

Then, @RepGosar and EVERY OTHER COUP PLOTTER.

#ImpeachmentDay 

https://t.co/W66rS03e88","New York, NY","New York, United States",40.7127281,-74.0060152
